Tag; Feiertage; Bundesland
01.01.2012; Neujahr; Schleswig-Holstein
06.04.2012; Karfreitag; Schleswig-Holstein
09.04.2012; Ostermontag; Schleswig-Holstein
01.05.2012; Maifeiertag; Schleswig-Holstein
17.05.2012; Christi Himmelfahrt; Schleswig-Holstein
28.05.2012; Pfingstmontag; Schleswig-Holstein
03.10.2012; Tag der Deutschen Einheit; Schleswig-Holstein
31.10.2012; Reformationstag; Schleswig-Holstein
25.12.2012; 1. Weihnachtstag; Schleswig-Holstein
26.12.2012; 2. Weihnachtstag; Schleswig-Holstein
01.01.2013; Neujahr; Schleswig-Holstein
29.03.2013; Karfreitag; Schleswig-Holstein
01.04.2013; Ostermontag; Schleswig-Holstein
01.05.2013; Maifeiertag; Schleswig-Holstein
09.05.2013; Christi Himmelfahrt; Schleswig-Holstein
20.05.2013; Pfingstmontag; Schleswig-Holstein
03.10.2013; Tag der Deutschen Einheit; Schleswig-Holstein
31.10.2013; Reformationstag; Schleswig-Holstein
25.12.2013; 1. Weihnachtstag; Schleswig-Holstein
26.12.2013; 2. Weihnachtstag; Schleswig-Holstein
01.01.2014; Neujahr; Schleswig-Holstein
18.04.2014; Karfreitag; Schleswig-Holstein
21.04.2014; Ostermontag; Schleswig-Holstein
01.05.2014; Maifeiertag; Schleswig-Holstein
29.05.2014; Christi Himmelfahrt; Schleswig-Holstein
09.06.2014; Pfingstmontag; Schleswig-Holstein
03.10.2014; Tag der Deutschen Einheit; Schleswig-Holstein
31.10.2014; Reformationstag; Schleswig-Holstein
25.12.2014; 1. Weihnachtstag; Schleswig-Holstein
26.12.2014; 2. Weihnachtstag; Schleswig-Holstein
01.01.2015; Neujahr; Schleswig-Holstein
03.04.2015; Karfreitag; Schleswig-Holstein
06.04.2015; Ostermontag; Schleswig-Holstein
01.05.2015; Maifeiertag; Schleswig-Holstein
14.05.2015; Christi Himmelfahrt; Schleswig-Holstein
25.05.2015; Pfingstmontag; Schleswig-Holstein
03.10.2015; Tag der Deutschen Einheit; Schleswig-Holstein
31.10.2015; Reformationstag; Schleswig-Holstein
25.12.2015; 1. Weihnachtstag; Schleswig-Holstein
26.12.2015; 2. Weihnachtstag; Schleswig-Holstein
01.01.2016; Neujahr; Schleswig-Holstein
25.03.2016; Karfreitag; Schleswig-Holstein
28.03.2016; Ostermontag; Schleswig-Holstein
01.05.2016; Maifeiertag; Schleswig-Holstein
05.05.2016; Christi Himmelfahrt; Schleswig-Holstein
16.05.2016; Pfingstmontag; Schleswig-Holstein
03.10.2016; Tag der Deutschen Einheit; Schleswig-Holstein
31.10.2016; Reformationstag; Schleswig-Holstein
25.12.2016; 1. Weihnachtstag; Schleswig-Holstein
26.12.2016; 2. Weihnachtstag; Schleswig-Holstein
01.01.2017; Neujahr; Schleswig-Holstein
14.04.2017; Karfreitag; Schleswig-Holstein
17.04.2017; Ostermontag; Schleswig-Holstein
01.05.2017; Maifeiertag; Schleswig-Holstein
25.05.2017; Christi Himmelfahrt; Schleswig-Holstein
05.06.2017; Pfingstmontag; Schleswig-Holstein
03.10.2017; Tag der Deutschen Einheit; Schleswig-Holstein
31.10.2017; Reformationstag; Schleswig-Holstein
25.12.2017; 1. Weihnachtstag; Schleswig-Holstein
26.12.2017; 2. Weihnachtstag; Schleswig-Holstein
01.01.2018; Neujahr; Schleswig-Holstein
30.03.2018; Karfreitag; Schleswig-Holstein
02.04.2018; Ostermontag; Schleswig-Holstein
01.05.2018; Maifeiertag; Schleswig-Holstein
10.05.2018; Christi Himmelfahrt; Schleswig-Holstein
21.05.2018; Pfingstmontag; Schleswig-Holstein
03.10.2018; Tag der Deutschen Einheit; Schleswig-Holstein
31.10.2018; Reformationstag; Schleswig-Holstein
25.12.2018; 1. Weihnachtstag; Schleswig-Holstein
26.12.2018; 2. Weihnachtstag; Schleswig-Holstein
01.01.2019; Neujahr; Schleswig-Holstein
19.04.2019; Karfreitag; Schleswig-Holstein
22.04.2019; Ostermontag; Schleswig-Holstein
01.05.2019; Maifeiertag; Schleswig-Holstein
30.05.2019; Christi Himmelfahrt; Schleswig-Holstein
10.06.2019; Pfingstmontag; Schleswig-Holstein
03.10.2019; Tag der Deutschen Einheit; Schleswig-Holstein
31.10.2019; Reformationstag; Schleswig-Holstein
25.12.2019; 1. Weihnachtstag; Schleswig-Holstein
26.12.2019; 2. Weihnachtstag; Schleswig-Holstein
01.01.2020; Neujahr; Schleswig-Holstein
10.04.2020; Karfreitag; Schleswig-Holstein
13.04.2020; Ostermontag; Schleswig-Holstein
01.05.2020; Maifeiertag; Schleswig-Holstein
21.05.2020; Christi Himmelfahrt; Schleswig-Holstein
01.06.2020; Pfingstmontag; Schleswig-Holstein
03.10.2020; Tag der Deutschen Einheit; Schleswig-Holstein
31.10.2020; Reformationstag; Schleswig-Holstein
25.12.2020; 1. Weihnachtstag; Schleswig-Holstein
26.12.2020; 2. Weihnachtstag; Schleswig-Holstein
01.01.2021; Neujahr; Schleswig-Holstein
02.04.2021; Karfreitag; Schleswig-Holstein
05.04.2021; Ostermontag; Schleswig-Holstein
01.05.2021; Maifeiertag; Schleswig-Holstein
13.05.2021; Christi Himmelfahrt; Schleswig-Holstein
24.05.2021; Pfingstmontag; Schleswig-Holstein
03.10.2021; Tag der Deutschen Einheit; Schleswig-Holstein
31.10.2021; Reformationstag; Schleswig-Holstein
25.12.2021; 1. Weihnachtstag; Schleswig-Holstein
26.12.2021; 2. Weihnachtstag; Schleswig-Holstein
